수원시 장안구,수원시 권선구,수원시 팔달구,수원시 영통구,성남시 수정구,성남시 중원구,성남시 분당구,의정부시,안양시 만안구,안양시 동안구,부천시 원미구,부천시 소사구,부천시 오정구,광명시,평택시,동두천시,안산시 상록구,안산시 단원구,고양시 일산동구,고양시 일산서구,고양시 덕양구,과천시,구리시,남양주시,오산시,시흥시
파장동,세류동,팔달로1가,매탄동,신흥동,성남동,분당동,의정부동,안양동,비산동,원미동,소사본동,오정동,광명동,서정동,송내동,일동,고잔동,식사동,일산동,주교동,관문동,갈매동,호평동,오산동,대야동
정자동,평동,팔달로2가,원천동,태평동,금광동,수내동,호원동,석수동,관양동,심곡동,심곡본동,여월동,철산동,장당동,지행동,이동,와동,중산동,주엽동,원당동,문원동,사노동,평내동,부산동,신천동
이목동,고색동,팔달로3가,이의동,수진동,은행동,정자동,장암동,박달동,평촌동,춘의동,범박동,작동,하안동,모곡동,생연동,사동,신길동,정발산동,탄현동,신원동,갈현동,인창동,금곡동,원동,방산동
율전동,오목천동,남창동,하동,단대동,상대원동,율동,신곡동,안양1동,호계동,도당동,괴안동,원종동,소하동,칠괴동,광암동,본오동,성곡동,장항동,대화동,원흥동,막계동,교문동,일패동,궐동,포동
천천동,평리동,영동,영통동,산성동,여수동,서현동,용현동,안양2동,비산1동,약대동,송내동,고강동,노온사동,칠원동,걸산동,팔곡이동,원시동,마두동,덕이동,도내동,과천동,수택동,이패동,청학동,미산동
영화동,서둔동,중동,신동,양지동,도촌동,이매동,민락동,안양3동,비산2동,소사동,옥길동,대장동,일직동,도일동,보산동,양상동,목내동,백석동,가좌동,성사동,주암동,아천동,삼패동,가장동,은행동
송죽동,구운동,구천동,망포동,복정동,갈현동,야탑동,낙양동,안양4동,비산3동,역곡동,계수동,삼정동,가학동,가재동,동두천동,부곡동,초지동,풍동,구산동,북한동,중앙동,토평동,수석동,금암동,안현동
조원동,탑동,남수동,매탄1동,창곡동,하대원동,판교동,자일동,안양5동,부흥동,중동,심곡본1동,내동,옥길동,장안동,안흥동,성포동,원곡동,산황동,법곳동,효자동,원문동,동구동,지금동,수청동,매화동
연무동,금곡동,매향동,매탄2동,신촌동,중앙동,삼평동,금오동,안양6동,달안동,상동,소사본1동,성곡동,광명1동,이충동,상봉암동,월피동,선부동,사리현동,일산1동,지축동,별양동,교문1동,도농동,은계동,도창동
상광교동,호매실동,북수동,매탄3동,오야동,금광1동,백현동,가능동,안양7동,인덕원동,심곡1동,역곡3동,원종1동,광명2동,지산동,하봉암동,팔곡일동,대부동동,지영동,일산2동,오금동,부림동,교문2동,별내동,내삼미동,금이동
하광교동,곡반정동,신풍동,매탄4동,심곡동,금광2동,금곡동,녹양동,안양8동,부림동,심곡2동,송내1동,원종2동,광명3동,독곡동,탑동동,건건동,대부북동,설문동,일산3동,삼송동,,수택1동,다산동,외삼미동,과림동
율천동,권선동,장안동,영통1동,고등동,은행1동,궁내동,고산동,안양9동,평안동,심곡3동,송내2동,고강본동,광명4동,신장동,상패동,사사동,대부남동,문봉동,탄현1동,동산동,,수택2동,와부읍,양산동,계수동
정자1동,장지동,교동,영통2동,상적동,은행2동,동원동,산곡동,석수1동,귀인동,원미1동,,고강1동,광명5동,평택동,생연1동,수암동,선감동,성석동,탄현2동,용두동,,수택3동,진접읍,세교동,화정동
정자2동,대황교동,매교동,영통3동,둔전동,상대원1동,구미동,의정부1동,석수2동,호계1동,원미2동,,신흥동,광명6동,통복동,생연2동,장상동,풍도동,중산1동,주엽1동,벽제동,,,화도읍,지곶동,능곡동
정자3동,입북동,매산로1가,망포1동,시흥동,상대원2동,운중동,의정부2동,충훈동,호계2동,역곡1동,,,광명7동,군문동,중앙동,장하동,화정동,중산2동,주엽2동,선유동,,,진건읍,서랑동,하중동
조원1동,당수동,매산로2가,망포2동,금토동,상대원3동,대장동,호원1동,호현동,호계3동,역곡2동,,,철산1동,유천동,불현동,사이동,중앙동,풍산동,송포동,고양동,,,오남읍,서동,하상동
조원2동,세류1동,매산로3가,광교1동,사송동,,석운동,호원2동,,범계동,중1동,,,철산2동,합정동,소요동,해양동,호수동,백석1동,,대자동,,,퇴계원읍,벌음동,광석동
,세류2동,고등동,광교2동,신흥1동,,하산운동,신곡1동,,신촌동,중2동,,,철산3동,비전동,,본오1동,백운동,백석2동,,관산동,,,별내면,두곡동,물왕동
,세류3동,화서동,,신흥2동,,수내1동,신곡2동,,갈산동,중3동,,,철산4동,동삭동,,본오2동,선부1동,마두1동,,내유동,,,수동면,탑동,산현동
,권선1동,지동,,신흥3동,,수내2동,송산1동,,,중4동,,,하안1동,세교동,,본오3동,선부2동,마두2동,,토당동,,,조안면,누읍동,조남동
,권선2동,우만동,,태평1동,,수내3동,송산2동,,,상1동,,,하안2동,지제동,,반월동,선부3동,장항1동,,내곡동,,,양정동,가수동,논곡동
,곡선동,인계동,,태평2동,,정자1동,송산3동,,,상2동,,,하안3동,신대동,,안산동,대부동,장항2동,,대장동,,,다산1동,고현동,목감동
,,매산동,,태평3동,,정자2동,자금동,,,상3동,,,하안4동,소사동,,,,고봉동,,화정동,,,다산2동,청호동,거모동
,,화서1동,,태평4동,,정자3동,흥선동,,,,,,소하1동,용이동,,,,,,강매동,,,,갈곶동,군자동
,,화서2동,,수진1동,,서현1동,,,,,,,소하2동,월곡동,,,,,,행주내동,,,,중앙동,장현동
,,우만1동,,수진2동,,서현2동,,,,,,,학온동,청룡동,,,,,,행주외동,,,,대원1동,장곡동
,,우만2동,,위례동,,이매1동,,,,,,,,죽백동,,,,,,신평동,,,,대원2동,월곶동
,,행궁동,,,,이매2동,,,,,,,,고덕동,,,,,,행신동,,,,남촌동,정왕동
,,,,,,야탑1동,,,,,,,,팽성읍,,,,,,화전동,,,,신장1동,죽율동
,,,,,,야탑2동,,,,,,,,안중읍,,,,,,현천동,,,,신장2동,무지내동
,,,,,,야탑3동,,,,,,,,포승읍,,,,,,덕은동,,,,세마동,배곧동
,,,,,,구미1동,,,,,,,,청북읍,,,,,,향동동,,,,초평동,신현동
,,,,,,,,,,,,,,진위면,,,,,,원신동,,,,,정왕본동
,,,,,,,,,,,,,,서탄면,,,,,,흥도동,,,,,정왕1동
,,,,,,,,,,,,,,고덕면,,,,,,성사1동,,,,,정왕2동
,,,,,,,,,,,,,,오성면,,,,,,성사2동,,,,,정왕3동
,,,,,,,,,,,,,,현덕면,,,,,,삼송1동,,,,,정왕4동
,,,,,,,,,,,,,,중앙동,,,,,,삼송2동,,,,,배곧1동
,,,,,,,,,,,,,,송탄동,,,,,,창릉동,,,,,배곧2동
,,,,,,,,,,,,,,송북동,,,,,,능곡동,,,,,연성동
,,,,,,,,,,,,,,신장1동,,,,,,화정1동,,,,,거북섬동
,,,,,,,,,,,,,,신장2동,,,,,,화정2동,,,,,
,,,,,,,,,,,,,,신평동,,,,,,행주동,,,,,
,,,,,,,,,,,,,,원평동,,,,,,행신1동,,,,,
,,,,,,,,,,,,,,비전1동,,,,,,행신2동,,,,,
,,,,,,,,,,,,,,비전2동,,,,,,행신3동,,,,,
,,,,,,,,,,,,,,,,,,,,행신4동,,,,,
,,,,,,,,,,,,,,,,,,,,대덕동,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,의왕시,하남시,용인시 처인구,용인시 기흥구,용인시 수지구,파주시,이천시,안성시,김포시,화성시 만세구,화성시 효행구,화성시 병점구,화성시 동탄구,광주시,양주시,포천시,여주시,연천군,가평군,양평군,,,,,
,고천동,천현동,김량장동,신갈동,풍덕천동,금촌동,창전동,봉산동,북변동,새솔동,배양동,진안동,능동,경안동,고암동,신읍동,오학동,전곡읍,가평읍,옥천면,,,,,
,이동,하산곡동,역북동,구갈동,죽전동,아동동,관고동,숭인동,걸포동,우정읍,기안동,병점동,반송동,쌍령동,고읍동,어룡동,천송동,연천읍,설악면,양서면,,,,,
,삼동,창우동,삼가동,상갈동,동천동,야동동,중리동,영동,운양동,향남읍,봉담읍,능동,석우동,송정동,광사동,자작동,하동,,청평면,양평읍,,,,,
,왕곡동,배알미동,남동,하갈동,고기동,검산동,증일동,봉남동,장기동,남양읍,매송면,기산동,청계동,회덕동,만송동,선단동,현암동,,상면,지평면,,,,,
,오전동,상산곡동,유방동,보라동,신봉동,맥금동,율현동,구포동,감정동,마도면,비봉면,반월동,영천동,탄벌동,삼숭동,설운동,홍문동,,조종면,양동면,,,,,
,학의동,신장동,고림동,지곡동,성복동,교하동,진리동,동본동,사우동,송산면,정남면,반정동,중동,목현동,옥정동,동교동,,,북면,청운면,,,,,
,내손동,당정동,마평동,공세동,상현동,야당동,안흥동,명륜동,풍무동,서신면,기배동,황계동,신동,삼동중,덕계동,소흘읍,,,,,,,,,
,청계동,덕풍동,운학동,고매동,풍덕천1동,다율동,갈산동,옥천동,마산동,팔탄면,,송산동,목동,대동,,군내면,,,,,,,,,
,포일동,망월동,호동,농서동,풍덕천2동,오도동,증포동,낙원동,구래동,장안면,,안녕동,산척동,직동,,내촌면,,,,,,,,,
,월암동,풍산동,해곡동,서천동,죽전1동,상지석동,송정동,창전동,통진읍,양감면,,병점1동,장지동,태전동,,가산면,,,,,,,,,
,초평동,미사동,포곡읍,영덕동,죽전2동,산남동,사음동,성남동,고촌읍,,,병점2동,송동,장지동,,신북면,,,,,,,,,
,부곡동,선동,모현읍,언남동,죽전3동,동패동,단월동,신흥동,양촌읍,,,화산동,방교동,역동,,창수면,,,,,,,,,
,내손1동,감북동,이동읍,마북동,상현1동,당하동,대포동,인지동,대곶면,,,,금곡동,목동,,영중면,,,,,,,,,
,내손2동,감일동,남사읍,청덕동,상현2동,문발동,고담동,금산동,월곶면,,,,여울동,고산동,,일동면,,,,,,,,,
,,감이동,양지읍,동백동,상현3동,송촌동,장록동,연지동,하성면,,,,동탄1동,신현동,,이동면,,,,,,,,,
,,학암동,원삼면,중동,,목동동,장호원읍,대천동,김포본동,,,,동탄2동,능평동,,영북면,,,,,,,,,
,,교산동,백암면,상하동,,하지석동,부발읍,서인동,장기본동,,,,동탄3동,문형동,,관인면,,,,,,,,,
,,춘궁동,중앙동,보정동,,서패동,신둔면,석정동,,,,,동탄4동,추자동,,화현면,,,,,,,,,
,,하사창동,유림1동,영덕1동,,신촌동,백사면,아양동,,,,,동탄5동,매산동,,포천동,,,,,,,,,
,,상사창동,유림2동,영덕2동,,연다산동,호법면,금석동,,,,,동탄6동,양벌동,,,,,,,,,,,
,,항동,동부동,기흥동,,와동동,마장면,계동,,,,,동탄7동,초월읍,,,,,,,,,,,
,,초일동,,서농동,,금릉동,대월면,옥산동,,,,,동탄8동,곤지암읍,,,,,,,,,,,
,,초이동,,구성동,,문산읍,모가면,사곡동,,,,,동탄9동,도척면,,,,,,,,,,,
,,광암동,,동백1동,,파주읍,설성면,도기동,,,,,,퇴촌면,,,,,,,,,,,
,,신장1동,,동백2동,,법원읍,율면,당왕동,,,,,,남종면,,,,,,,,,,,
,,신장2동,,동백3동,,조리읍,,가사동,,,,,,남한산성면,,,,,,,,,,,
,,덕풍1동,,,,월롱면,,가현동,,,,,,광남1동,,,,,,,,,,,
,,덕풍2동,,,,탄현면,,신건지동,,,,,,광남2동,,,,,,,,,,,
,,덕풍3동,,,,광탄면,,신소현동,,,,,,오포1동,,,,,,,,,,,
,,위례동,,,,파평면,,신모산동,,,,,,오포2동,,,,,,,,,,,
,,미사1동,,,,적성면,,현수동,,,,,,,,,,,,,,,,,
,,미사2동,,,,군내면,,발화동,,,,,,,,,,,,,,,,,
,,미사3동,,,,장단면,,중리동,,,,,,,,,,,,,,,,,
,,,,,,진동면,,공도읍,,,,,,,,,,,,,,,,,
,,,,,,진서면,,보개면,,,,,,,,,,,,,,,,,
,,,,,,금촌1동,,금광면,,,,,,,,,,,,,,,,,
,,,,,,금촌2동,,서운면,,,,,,,,,,,,,,,,,
,,,,,,금촌3동,,미양면,,,,,,,,,,,,,,,,,
,,,,,,운정1동,,대덕면,,,,,,,,,,,,,,,,,
,,,,,,운정2동,,양성면,,,,,,,,,,,,,,,,,
,,,,,,운정3동,,원곡면,,,,,,,,,,,,,,,,,
,,,,,,운정4동,,일죽면,,,,,,,,,,,,,,,,,
,,,,,,운정5동,,죽산면,,,,,,,,,,,,,,,,,
,,,,,,운정6동,,삼죽면,,,,,,,,,,,,,,,,,
,,,,,,,,고삼면,,,,,,,,,,,,,,,,,
,,,,,,,,안성1동,,,,,,,,,,,,,,,,,
,,,,,,,,안성2동,,,,,,,,,,,,,,,,,
,,,,,,,,안성3동,,,,,,,,,,,,,,,,,